% Model,Evan_segmented_hall_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 13 2020, 16:18"
% Table,Probe Table 1 - 
% beta_i (1),u_x (m/s),beta (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","ec.Jz*ec.Ez (W/m^3), Odd power"
0,300,0.5,-503199.527144486,0.1446758787556257,300,6,60,-156751.89257997993,-751095.9094241477,-559.3997932122078,907288.4022109202
0,400,0.5,-894578.4144081379,0.1446758758705292,400,6,60,-278670.04372469574,-1335282.5833386672,-995.5931329991809,1612957.0339303738
0,500,0.5,-1397778.5332896833,0.1446758764494199,500,6,60,-435421.8614679574,-2086378.7310415532,-1555.169080693095,2520245.4234288936
0,600,0.5,-2012816.5378149403,0.14467585858822204,600,6,60,-627008.1092510527,-3004398.820895922,-2254.531455911003,3629152.398691055
0,700,0.5,-2739663.6811704854,0.14467586151574724,700,6,60,-853427.492384299,-4089317.601492173,-3065.1784968374686,4939679.915379648
0,800,0.5,-3578333.0231804675,0.1446758636203787,800,6,60,-1114680.592779885,-5341146.72199964,-4000.230049674962,6451827.084729817
0,900,0.5,-4528824.579248815,0.1446758652874214,900,6,60,-1410767.417122648,-6759886.000626242,-5059.511198088217,8165593.9065509
0,1000,0.5,-5591138.335418204,0.1446758666304661,1000,6,60,-1741687.9653412874,-8345535.461739382,-6243.046471143093,1.0080980380609667E7
0,1100,0.5,-6765274.294109565,0.14467586769548937,1100,6,60,-2107442.2321762396,-1.0098095235480601E7,-7550.9603847419085,1.2197986507271826E7
0,1200,0.5,-8051232.495920838,0.14467586869425517,1200,6,60,-2508030.237328895,-1.2017564803485537E7,-8982.755699807867,1.451661228511477E7
0,1300,0.5,-9449012.866042078,0.14467586944874247,1300,6,60,-2943451.951648298,-1.410394493278759E7,-10539.168141250586,1.703685771629437E7
0,1400,0.5,-1.0958615459731216E7,0.14467587012765126,1400,6,60,-3413707.3933065967,-1.6357235109966077E7,-12219.70301235494,1.975872280026024E7
0,1500,0.5,-1.2580065363727517E7,0.1446758767198754,1500,6,60,-3918791.1687352275,-1.8777402560704853E7,-13983.50359797579,2.268221022584211E7
0,1600,0.5,-1.4313313911594484E7,0.144675876805403,1600,6,60,-4458713.675842553,-2.13645113060278E7,-15910.180903059369,2.5807314800967228E7
0,1700,0.5,-1.6158384838152383E7,0.14467587698986945,1700,6,60,-5033469.944734728,-2.4118529432761185E7,-17960.35813264146,2.9134039019362956E7
0,1800,0.5,-1.8115277892827004E7,0.1446758770447363,1800,6,60,-5643059.900405664,-2.7039458646888636E7,-20135.65317359596,3.2662382894120183E7
0,1900,0.5,-2.0183993210777227E7,0.14467587718165104,1900,6,60,-6287483.614208127,-3.012729724863938E7,-22434.446023778168,3.639234641682333E7
0,2000,0.5,-2.236453062481081E7,0.14467587718355665,2000,6,60,-6966740.995150486,-3.338204731397114E7,-24858.709949836517,4.032392959917089E7
