% Model,Evan_continuous_faraday_v5.2.mph
% Version,COMSOL 5.5.0.359
% Date,"Dec 7 2020, 16:46"
% Table,Probe Table 1 - 
% mob_i (m^2/(V*s)),u_x (m/s),mob_e (m^2/(V*s)),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.04,2700,0.16,1.384732204033893E9,0.2125640859423595,3.240221785295537E9,-2.1016950703539822E9,-7.155690099169385E8,2700,6,60,-5400.193815729378,845.3134016987788,0.015352584852850047
0.05,2700,0.16,1.594470956337729E9,0.22105054498418214,3.397454461552441E9,-2.4174781095559406E9,-8.213152174154842E8,2700,6,60,-5637.979197208243,865.5799892488714,0.014309716047136453
0,3000,0.16,9.941692517570434E8,0.1839225400067777,3.2653019257908607E9,-1.5267076389104521E9,-5.316686846635002E8,3000,6,60,-5104.070233295462,848.5785659070941,0.01966350702183627
0.01,3000,0.16,1.1342186829445846E9,0.190362839804519,3.439860911048558E9,-1.7359327899878705E9,-6.006963399713053E8,3000,6,60,-5306.332859175058,870.9652480899424,0.018787041802232424
0.02,3000,0.16,1.2973611694142072E9,0.19725890419567885,3.62129926352938E9,-1.979123538880515E9,-6.805609183227208E8,3000,6,60,-5522.364550505578,893.6399873335307,0.017922807966274403
0.03,3000,0.16,1.4876044216065154E9,0.2046470965842175,3.808604030952057E9,-2.2627491734508376E9,-7.737135642817254E8,3000,6,60,-5753.270113425002,916.459541097616,0.017534747053907087
0.04,3000,0.16,1.709551438534763E9,0.21256443762069105,4.0002795400278087E9,-2.59468652240001E9,-8.834142697919587E8,3000,6,60,-6000.22022126862,939.2377858043769,0.016685433644153053
0.05,3000,0.16,1.9684826501427639E9,0.22105054483541262,4.194388213609911E9,-2.9845408733768873E9,-1.0139694136107887E9,3000,6,60,-6264.421320065296,961.7555424027023,0.015899954268048997
0,1500,0.45,5.0785449491781986E8,0.2817769127563895,1.7934454482766247E8,-7.35108913647864E8,-2.2576473753908283E8,1500,6,60,-4345.588255389171,198.87237999259003,0.0038324238021379504
0.01,1500,0.45,5.742211905356131E8,0.29591670104550016,1.8291861511324927E8,-8.674380398574058E8,-2.913176093731593E8,1500,6,60,-4566.927010233228,200.84422000494152,0.0038701707088824424
