% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 18:50"
% Table,Probe Table 1 - 
% beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,-1.6052555946539965E9,-1233.1611419901228,-863.2175934822155,0.6296541437156331,0.052477548301181745,2.0954340187359958E12,2.5285360108376943E7,-1.5798778380535977E9,110,NaN,2.3999244309073734E9,1800,6,60
0,0.1,-1.7341424430578532E9,-1280.6116922831197,-896.4331631603467,0.6537528312025457,0.04677737680184343,2.2597960915931943E12,2.4572151445250306E7,-1.709486252783617E9,110,NaN,2.588170183642904E9,1800,6,60
0,0.2,-1.878948941691373E9,-1331.8635258682252,-932.309645920928,0.6798250598220293,0.0409545904859685,2.444295897875603E12,2.3655561815201357E7,-1.8552183821090102E9,110,NaN,2.799479911668562E9,1800,6,60
0,0.30000000000000004,-2.042399241585812E9,-1387.3919794139972,-971.1797792803491,0.7081055870803421,0.034977104872463805,2.652361325250911E12,2.2490961910575103E7,-2.019842965330652E9,110,NaN,3.0377796137447996E9,1800,6,60
0,0.4,-2.2278253332137384E9,-1447.7558421015704,-1013.4347178379002,0.7388864626933321,0.030069622557767458,2.888184812774763E12,2.1021911635635886E7,-2.206748473713765E9,110,NaN,3.307870938038397E9,1800,6,60
0,0.5,-2.439332521779388E9,-1513.6170242394662,-1059.5378013831362,0.7724895490945399,0.02404666992246337,3.1569400537485137E12,1.9177286272888653E7,-2.420111135586373E9,110,NaN,3.6156793743719664E9,1800,6,60
0.5,0,-1.3720403615186446E9,-1154.158888584222,-807.9157088927465,0.5904583902376369,31.05819530729989,1.8355470828773738E12,6764227.013834718,-1.3650651138097818E9,110,NaN,2.1022729653570547E9,1800,6,60
0.5,0.1,-1.4680058949271426E9,-1204.3099246822856,-843.0216290766632,0.6167560532714077,64.35537130185357,1.9985308588933923E12,-1.8128630287207007E7,-1.4858655266333396E9,110,NaN,2.288940139033244E9,1800,6,60
0.5,0.2,-1.5562005845861669E9,-1256.0266534380585,-879.223540196955,0.6442256043068945,104.47832774204244,2.173862338468503E12,-6.4886066837994404E7,-1.6207373058405778E9,110,NaN,2.4897492781314344E9,1800,6,60
0.5,0.30000000000000004,-1.62539331188119E9,-1309.0626435806907,-916.3489394023569,0.6730020045881566,153.6884217416348,2.3613218571172134E12,-1.4886927230893224E8,-1.7737962071934464E9,110,NaN,2.704448798416293E9,1800,6,60
