% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 30 2020, 13:52"
% Table,Probe Table 1 - 
% resistance (Ω),beta_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","ec.Jy*ec.Ey (W/m^3), Faraday_power_channel","ec.Jz*ec.Ez (W/m^3), Off Power"
0.001,0,0,1.0448483825841326E7,-0.010587585790145987,0.03119185997820306,6.933162016302521E11,5.126215840213046E7,6.211290102259583E7,1800,6,60,-2.3807475557612148E8,402258.7945827809
0.0031622776601683794,0,0,-7.866047735493122E7,-0.010450581309241274,0.040818217744790476,2.1358608014785457E12,4.9943993834127694E7,-2.8324545062375296E7,1800,6,60,-2.819526210757917E8,391938.4583845608
0.01,0,0,-3.318721535464269E8,-0.01003974729062665,0.07326084717864406,6.233505399506157E12,4.609473824660592E7,-2.854156403417001E8,1800,6,60,-4.061412395418769E8,361774.9580649189
0.03162277660168379,0,0,-9.111613172811772E8,-0.008929733414720096,0.1692166734831647,1.5594203977134326E13,3.646536890329871E7,-8.744098039562057E8,1800,6,60,-6.863399779580259E8,286144.4216615057
0.1,0,0,-1.6262720897441528E9,-0.006616416793852638,0.38037284061358817,2.7072719110125195E13,2.0019316810378764E7,-1.6060956819726617E9,1800,6,60,-1.0105383955939944E9,157090.96099181235
0.31622776601683794,0,0,-1.5673351115258029E9,-0.0036369672581330875,0.6586155824081876,2.586812457219058E13,6048980.265213665,-1.561238665111835E9,1800,6,60,-9.108840910019624E8,47466.14867348912
1,0,0,-8.458003041515225E8,-0.0015003921433579405,0.8591541455939828,1.3921810666896215E13,1029474.3320599055,-8.447627515933298E8,1800,6,60,-4.8091626744600147E8,8078.22612558759
3.1622776601683795,0,0,-3.277910489961793E8,-5.25032741690622E-4,0.9507143007727519,5.390870945720232E12,126058.55183970228,-3.276640010993966E8,1800,6,60,-1.8508077664880228E8,989.3449456001109
10,0,0,-1.1104541034964788E8,-1.7182058126150734E-4,0.9838705908895093,1.8257299006294485E12,13502.122565113523,-1.110318021605055E8,1800,6,60,-6.256032850835563E7,106.0665778573024
