% Model,Evan_continuous_faraday_v2.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 16 2020, 08:01"
% Table,Probe Table 1 - 
% mob_e ,beta_i ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"(ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz)/(chan_len[mm]*(2*inner_rad[mm])^2) (W/m^3), available Power Density","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","electron mobility, Point: (0, 0, 0)","Ion-slip parameter, Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)"
0,0,-123.8623144171853,0.3425447615974407,0.2397826648096319,1.7490392877625143E-4,-1.457709174445002E-5,161684.7236051405,1.9510308746030913,-121.90415418362444,110,NaN,185.1793541648001,1800,6,0,0,60
0,0.1,-87.79096121717643,0.28813763061928566,0.20169746160998572,1.4709438694714898E-4,-1.0524905158551393E-5,114402.1770222275,1.2439651691035154,-86.54274158234333,110,NaN,131.02611541557943,1800,6,0,0.1,60
0,0.2,-59.38406532836528,0.2367757378910612,0.16574393702385729,1.2085778839192619E-4,-7.280817679467696E-6,77251.82094309774,0.7476325717955851,-58.63406245676976,110,NaN,88.47738977019097,1800,6,0,0.2,60
0,0.30000000000000004,-37.83796746012204,0.1888394637599948,0.13218835877320648,9.638103818813582E-5,-4.760771133231863E-6,49138.26801594584,0.4166728369572635,-37.420084594293186,110,NaN,56.27861762742561,1800,6,0,0.30000000000000004,60
0,0.4,-22.278253349513964,0.14477558414759595,0.10134347173999664,7.38886462374176E-5,-3.0069617925146056E-6,28881.84810278647,0.2102191167641079,-22.067484754106882,110,NaN,33.07870935179566,1800,6,0,0.4,60
0,0.5,-11.763756378015437,0.10511229333606434,0.07357901397521219,5.364510756891606E-5,-1.669907889770421E-6,15224.440841597505,0.09248305499977859,-11.671060649793455,110,NaN,17.436725373340064,1800,6,0,0.5,60
0.5,0,1.1193704060088924E8,439.46277016168307,307.6256470044657,0.3546705782984205,-470.0349051393457,2.6612060719592523E11,-5.886095466456867E8,-4.732525217515295E8,110,NaN,3.047909602816617E8,1800,6,0.5,0,60
0.5,0.1,1.0217570326078555E8,457.34508497692786,320.1433368752235,0.363955202961629,-471.56960572081016,2.882188360865941E11,-6.151735266287266E8,-5.093771929430526E8,110,NaN,3.3010031334184057E8,1800,6,0.5,0.1,60
0.5,0.2,9.028543737186751E7,475.2190456645991,332.655178824793,0.3731947221435505,-472.5333980777163,3.111873995261371E11,-6.416397956215509E8,-5.475329780065162E8,110,NaN,3.564064704665859E8,1800,6,0.5,0.2,60
0.5,0.30000000000000004,7.606497790227191E7,492.97073856621074,345.08143284986943,0.3823294971749648,-472.8916905750475,3.3487028418071826E11,-6.677112139603101E8,-5.876210163503566E8,110,NaN,3.835307478089847E8,1800,6,0.5,0.30000000000000004,60
