% Model,Evan_segmented_hall_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 6 2020, 11:01"
% Table,Probe Table 1 - 
% beta_i (1),u_x (m/s),beta (1),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","abs(ec.Ex/(beta*(u_x[m/s])*(B_app[T]))) (m^2/(V*s)), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity ((S/m)), Point: (0, 0, 0)","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx + ec.Ey*ec.Jy + ec.Ez*ec.Jz (W/m^3), Total Channel Power","ec.Jz*ec.Ez (W/m^3), Odd power"
0,300,0.5,1.8731460251392167E7,0.09197782907778346,300,6,60,2309632.4270841335,-6364128.965133554,-1036479.6457883201,3018016.8922612127
0,400,0.5,3.3300411096073974E7,0.09197783680774733,400,6,60,4106016.716757207,-1.131400824271942E7,-1842627.215470434,5365364.310491597
0,500,0.5,5.203187982330916E7,0.09197783665075637,500,6,60,6415650.7084946325,-1.7678137554255676E7,-2879105.1612089877,8383381.684551758
0,600,0.5,7.492589497805808E7,0.09197783654758046,600,6,60,9238536.62480053,-2.5456517765413594E7,-4145911.5642170217,1.207206957639571E7
0,700,0.5,1.0198277047123846E8,0.09197784984152821,700,6,60,1.2574675861452825E7,-3.46491423092114E7,-5643031.906436051,1.6431434541323334E7
0,800,0.5,1.3320192171006052E8,0.09197784813806588,800,6,60,1.6424065833707849E7,-4.525602337421718E7,-7370493.122917397,2.1461464417591527E7
0,900,0.5,1.685836207365721E8,0.09197784679099932,900,6,60,2.0786707724303354E7,-5.7277155348273106E7,-9328282.822319923,2.7162164801649973E7
0,1000,0.5,2.0812786613620064E8,0.09197784571306443,1000,6,60,2.5662601540010348E7,-7.0712538222721E7,-1.1516400978399081E7,3.3533535704310782E7
0,1100,0.5,2.5183465795192462E8,0.09197784483546004,1100,6,60,3.1051747280716397E7,-8.556217199302909E7,-1.3934847586930709E7,4.0575577125380374E7
0,1200,0.5,2.9970399607709E8,0.09197784409608017,1200,6,60,3.695414494565655E7,-1.0182605667344426E8,-1.6583622663562542E7,4.828828906422555E7
0,1300,0.5,3.517358806781463E8,0.09197784347687563,1300,6,60,4.336979453709428E7,-1.1950419224409968E8,-1.9462726184121106E7,5.6671671522887E7
0,1400,0.5,4.079303117313401E8,0.09197784294628979,1400,6,60,5.0298696051460944E7,-1.3859657871665546E8,-2.257215816717232E7,6.572572449802548E7
0,1500,0.5,4.682872890388577E8,0.09197784248365776,1500,6,60,5.774084949118768E7,-1.5910321609345907E8,-2.5911918610373776E7,7.545044799190225E7
0,1600,0.5,5.328101091313551E8,0.09197785318202441,1600,6,60,6.5696265601092204E7,-1.81024060973889E8,-2.948193100092802E7,8.584586437186843E7
0,1700,0.5,6.014923932748599E8,0.09197785276835997,1700,6,60,7.416492419899216E7,-2.043591956219628E8,-3.328233978510804E7,9.691193163786606E7
0,1800,0.5,6.743372162572386E8,0.0919778518380619,1800,6,60,8.314683412309162E7,-2.2910858287866876E8,-3.731308059216604E7,1.086486681634114E8
0,1900,0.5,7.513445857390429E8,0.09197785100871969,1900,6,60,9.264199597249275E7,-2.5527222102563754E8,-4.1574149844868176E7,1.2105607520826542E8
0,2000,0.5,8.325145015930192E8,0.09197785025658467,2000,6,60,1.0265040974621612E8,-2.8285011009154296E8,-4.606554757448825E7,1.3413415277083305E8
