% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 11 2020, 12:22"
% Table,Probe Table 1 - 
% u_x ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
300,-4.641772114990108E7,159.64451375094927,112.63662746026371,0.5781311374182424,-4.255167251293125E-4,1.406611663752506E11,2088346.6313619427,-4.432571701484606E7,55,110,11.905131335147447,97.36254418454284,3.578685571144965,13.168462937714557,113.7539350626146,4.791697486260505,11.487945319304092,58.38954623964494,5.330102149649342,12.428989503765786,66.68035685883947,6.724233405953629,11.710950431517091,33.09636728111747,8.70046011218078,12.582287943081607,37.9625566978955,8.700474745444774
421.42857142857144,-9.159868895739064E7,224.26253098553337,158.22764317281806,0.578131136942753,-5.977494230518639E-4,2.775745573258793E11,4121051.37570778,-8.747042002479105E7,55,110,16.72387498459433,136.7711922717652,5.027201302917971,18.498555093290552,159.79719268821106,6.73119560534903,16.137827950821286,82.02340951284617,7.487522661801816,17.4597709752078,93.67002417237634,9.445947367781201,16.451096805112552,46.492517766926774,12.22207369114298,17.67511850724896,53.32835513142403,12.222094244165117
542.8571428571429,-1.519890914888059E8,288.8805487339799,203.81865924381154,0.578131137426984,-7.699798468441481E-4,4.605776061299123E11,6838032.94618362,-1.4513908249882135E8,55,110,21.542618598511282,176.1798402034285,6.475717584878908,23.828647210176914,205.84045653615027,8.670692461906222,20.78771056178087,105.65727457926312,9.644945066870779,22.490552415940037,120.65969383288862,12.167662331335132,21.19124397707166,59.888666077744986,15.743689943310272,22.76794990378311,68.69415130235332,15.743716419491362
664.2857142857142,-2.2758892870162803E8,353.49856604568816,249.4096750050518,0.5781311372583293,-9.421900831045552E-4,6.896703101981699E11,1.0239291405974422E7,-2.1733170433113912E8,55,110,26.361362246726443,215.5884814853334,7.924232602357411,29.158739366713842,251.88370578248055,10.610189578093053,25.437593241522737,129.29113471094624,11.802367392613998,27.52133393916303,147.6493579106661,14.889373725836949,25.93138993059109,73.28481497157762,19.265300471874927,27.86078010527554,84.05994778495797,19.26533287083515
785.7142857142858,-3.1839820062968576E8,418.116583348769,295.00069077058777,0.5781311370971154,-0.0011144328097869233,9.648526705311547E11,1.432482665645535E7,-3.040482856543232E8,55,110,31.18010586902734,254.99712053414933,9.372749260072332,34.48883149710645,297.926972747026,12.549686342082948,30.087475795091965,152.92499894780758,13.959788985626188,32.5521153363258,174.63902518213635,17.61108603128032,30.671536754727978,86.68096549649614,22.786916094029422,32.95361114295467,99.42574752676907,22.78695441677232
907.1428571428571,-4.244169072566441E8,482.7346007952361,340.5917066276533,0.5781311371358084,-0.0012866130641022854,1.2861246879699873E12,1.9094638803377777E7,-4.0528882634607226E8,55,110,35.99884952441778,294.4057791667608,10.821265229899769,39.81892366020455,343.9702316178161,14.48918288643109,34.737358525143954,176.55886636819025,16.117212742234415,37.58289689580703,201.62869898220163,20.332802190802038,35.41168386988977,100.07711345665234,26.308534038352537,38.046442474251144,114.791542257611,26.308578279057322
1028.5714285714284,-5.456450486441088E8,547.3526182067227,386.18272246839877,0.5781311370643871,-0.0014588763039490185,1.6534863616823025E12,2.454872769456025E7,-5.2105332662054497E8,55,110,40.817593165346935,333.8144071072786,12.269786588444344,45.14901580038476,390.0134677613844,16.428681847589928,39.387241048258815,200.19272857225437,18.274633343401455,42.61367824623361,228.61836477882224,23.05451574630383,40.151830559051284,113.4732620932196,29.8301492916774,43.13927334284172,130.15734029762325,29.83019946512611
1150,-6.82082624659186E8,611.9706357256408,431.77373837421453,0.5781311371943538,-0.0016311055996146204,2.0669376926426604E12,3.0687093580282103E7,-6.513417860940833E8,55,110,45.63633677458968,373.22304994221804,13.718294716066081,50.47910792262803,436.0567109656917,18.36817756090239,44.03712363930228,223.82659978624326,20.43205434125841,47.64445967021207,255.60803892583505,25.776228982771016,44.89197664978692,126.86940957065866,33.351763282359265,48.232103791217504,145.52313581834616,33.35181936619339
1271.4285714285716,-8.33729635471095E8,676.5886532486285,477.364754286496,0.5781311372106722,-0.0018033047069585166,2.5264786802252163E12,3.750973619229507E7,-7.96154205204622E8,55,110,50.45508041326873,412.63173147662843,15.166807477377496,55.80920006610315,482.1000099237676,20.307669249177838,48.68700631915368,247.46046120586593,22.589476061847265,52.675241198901034,282.59770512384625,28.497941669180157,49.63212370587201,140.26555776346612,36.8733765538816,53.32493500598596,160.88893144473622,36.87343856556421
1392.857142857143,-1.0005860809294654E9,741.2066709977502,522.9557703497356,0.5781311374289331,-0.0019755296468375177,3.032109326335996E12,4.501665578270605E7,-9.554905835493722E8,55,110,55.27382401213341,452.04034112076204,16.615329788929234,61.13929217529593,528.1432467759493,22.247167613441487,53.336889012018574,271.094325509041,24.746896162018,57.706022741904114,309.58737460915125,31.21965380623715,54.37226933215364,153.6617093324684,40.39499107735503,58.417764954488014,176.25473012352364,40.39505900644556
