% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 2 2020, 12:21"
% Table,Probe Table 1 - 
% resistance (Ω),"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (m^2*A), Current in Load","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.001,-6.064524950354359E8,-0.004177327584722951,0.4742162650926804,1.37644665612245E11,8.43276494457245E8,2.3767685229132053E8,1800,6,60,-0.11440058689855075,4161.97526286224,-0.08169278798089316
0.001584893192461114,-6.11924352805239E8,-0.0041698836882984236,0.4749257376622341,2.1736663452862308E11,8.403197617825598E8,2.2924525107047173E8,1800,6,60,0.27206209867047376,4173.66210866659,-0.08075448273559692
0.0025118864315095794,-6.205104431699923E8,-0.004158147264832133,0.4760469592217381,3.4255777453889386E11,8.356664730914509E8,2.1600113287863955E8,1800,6,60,0.1924296954224453,4192.10307944896,-0.0788959296013574
0.003981071705534973,-6.339033472730882E8,-0.004139677535574172,0.47781502530090253,5.380925588949829E11,8.283690430001822E8,1.9530336684596157E8,1800,6,60,0.04493401733546321,4221.116381861127,-0.07797747085982211
0.00630957344480193,-6.546021278441175E8,-0.004110739825402847,0.48059594742515527,8.409128169241414E11,8.169984169342645E8,1.6322238206520212E8,1800,6,60,0.02024450058278664,4266.582870367075,-0.06812791362771338
0.01,-6.861262215526226E8,-0.004065699374012528,0.4849498722901233,1.3036550358460425E12,7.994512510371994E8,1.1413326625396085E8,1800,6,60,0.007473809843866204,4337.369479895041,-0.04535583091056574
