% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 12 2021, 13:03"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1),"ec.Jx*ec.Ex + ec.Jy*ec.Ey + ec.Jz*ec.Ez (W/m^3), Joule Heating"
0,0,3.0270799640235095E11,-8.804258903368626E8,49996.040784856385,1629.0401419061875,-8.803742652559627E8,0.8524107011831885,1800,6,60,-0.00305195076482753,9206.035572777946,3.106663495529718E-4,5.5,0.5,NaN
0.3,0,3.0139919958555566E11,-8.764580184119995E8,-283088.634291224,180439.18302283488,-8.765606678632661E8,0.8509991232619621,1800,6,60,-2852.480677455027,9190.73789822217,2.1470891866814866E-4,5.5,0.5,NaN
0.6,0,2.989267064700153E11,-8.700460767381551E8,-460806.9678540302,1133848.5332979027,-8.69373035172741E8,0.849579856763139,1800,6,60,-5687.880616218274,9164.145156798146,-0.042740891148558516,5.5,0.5,NaN
0.8999999999999999,0,2.959550515951959E11,-8.632313734340376E8,-631111.8404131515,3139883.311025753,-8.607226019634306E8,0.849743211988847,1800,6,60,-8493.756931018064,9132.244220711911,-0.07837504926795806,5.5,0.5,NaN
1.2,0,2.928793225385263E11,-8.569333356563303E8,-895190.0288933541,6039658.773339024,-8.517888669118551E8,0.8516098597201402,1800,6,60,-11270.171272587071,9098.859087549012,-0.05764746022657034,5.5,0.5,NaN
1.5,0,2.8989828146033093E11,-8.513204118551109E8,-1321252.6498787592,9522858.55659309,-8.431188059484115E8,0.8546562149336103,1800,6,60,-14019.505788634418,9066.062154356934,-0.041014153615734225,5.5,0.5,NaN
