% Model,Evan_continuous_faraday_v3.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 2 2020, 08:50"
% Table,Probe Table 1 - 
% resistance (Ω),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (s/m), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity, Point: (0, 0, 0)","applied magnetic field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
1.0E-4,0,0,2.6742978374508288E7,0.019137876286310217,4.5345952950524254E10,3.331718370380574E7,6.0309224814385846E7,1800,6,60,-0.13785106334340186,12.342460045325854,-0.07988513026924893
3.1622776601683794E-4,0,0,9971498.801973341,0.020883137469862346,1.4258631691882816E11,3.3158251347415432E7,4.337762459966176E7,1800,6,60,-0.1393772738702146,38.089046557473715,-0.080513769319184
0.001,0,0,-4.200725251759627E7,0.0268419746121827,4.441120167604751E11,3.266353557918064E7,-9099540.152447429,1800,6,60,-0.1364167574239906,118.67690024559175,-0.08390108594223147
0.0031622776601683794,0,0,-1.964852363537528E8,0.046595056938340575,1.3401634873308027E12,3.1169937387190152E7,-1.650822890945752E8,1800,6,60,-0.13271008010672036,365.74780546343044,-0.06839943844172351
0.01,0,0,-6.000625533215824E8,0.10734902716244318,3.6799227794529277E12,2.7065619674075734E7,-5.727945815566976E8,1800,6,60,-0.12447752721144506,1076.9558707448432,-0.11509035792423086
0.03162277660168379,0,0,-1.325239033741877E9,0.2618182803797285,7.875851770893347E12,1.8318071637391083E7,-1.3067838712740269E9,1800,6,60,-0.10281266525618245,2801.073469168552,-0.16927894295637608
0.1,0,0,-1.7372251836787248E9,0.5256113245913192,1.0224307669526922E13,7520627.144050065,-1.729647704895232E9,1800,6,60,-0.06590941935244418,5674.925244750303,-0.2592887856334536
0.31622776601683794,0,0,-1.2076022605499265E9,0.7778500062389978,7.085541496483967E12,1648334.9826648154,-1.2059413056327918E9,1800,6,60,-0.03009766602639291,8400.776279335954,-0.16919742431384194
1,0,0,-5.314431345798523E8,0.9171667106100199,3.1151918346673364E12,229137.18167450404,-5.3121227405987865E8,1800,6,60,-0.012061254176855388,9905.400474588316,-0.033902692413013004
