% Model,Evan_continuous_faraday_v7.mph
% Version,COMSOL 5.5.0.359
% Date,"Jan 4 2021, 11:23"
% Table,Probe Table 1 - 
% L (m),beta_e (1),beta_i (1),"ec.Ey*ec.Jy (W/m^3), Faraday Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","plasma velocity (m/s), Point: (0, 0, 0)","applied magnetic field (T) (T), Point: (0, 0, 0)","plasma conductivity (S/m) (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z"
0.065,0.16,0.4,-2.691142843124821E9,0.5414853621990124,1.5504240886595173E10,1.3071926549237125E7,-2.677673414157717E9,1800,6,60,-165.7960176391943,5846.597961866894,0.45025522725907396
0.065,0.16,0.5,-3.100622942262431E9,0.5787937990481432,1.7720276391608105E10,2980136.9848425915,-3.097286395676472E9,1800,6,60,-186.2992156872609,6250.477885121148,0.4092482072837081
0.065,0.45,0,-1.3776029735834095E9,0.39623180998290347,8.199784667529125E9,-1.2136192004257048E7,-1.3891001145612416E9,1800,6,60,-321.55332131368937,4251.862396923807,0.4569374748566588
0.065,0.45,0.1,-1.5026688644675546E9,0.4127342177343738,8.915712941291801E9,-2.2893442198465295E7,-1.5249230132600176E9,1800,6,60,-345.0663598298597,4433.594969991352,0.4362769630417756
0.065,0.45,0.2,-1.6369395415238512E9,0.4297229661265861,9.68015621905573E9,-3.7628769447046034E7,-1.6739279651937945E9,1800,6,60,-372.8010143832536,4619.757297948446,0.4110478584055025
0.065,0.45,0.30000000000000004,-1.7765542020351813E9,0.4466088906835092,1.0468431783437342E10,-5.826173226848242E7,-1.8341727770128007E9,1800,6,60,-406.2197143527123,4804.174689672249,0.37868731970322195
0.065,0.45,0.4,-1.9130338502698653E9,0.46230296940230386,1.1227075373191837E10,-8.799494515852429E7,-2.0003798413601508E9,1800,6,60,-447.6373216839963,4975.208620830043,0.33901121296109327
0.065,0.45,0.5,-2.029453650888839E9,0.4748102458767976,1.1848713040767029E10,-1.3251526459840725E8,-2.16131021718878E9,1800,6,60,-500.9760760428328,5111.090465681116,0.2896966016979449
0.07,0.16,0,-1.6352047680813386E9,0.4265542039403805,9.577002091984383E9,2.605919724490407E7,-1.608626335815364E9,1800,6,60,-131.10437928385062,4595.076735977914,0.5083888198314127
0.07,0.16,0.1,-1.834542270443589E9,0.4502589567300759,1.0690713205292034E10,2.408621306811231E7,-1.8099623036952307E9,1800,6,60,-141.26780253632904,4854.911490536649,0.4854770103032185
0.07,0.16,0.2,-2.07104146297936E9,0.4767554673383444,1.2001887953045635E10,2.109609988270808E7,-2.049481514594546E9,1800,6,60,-153.31424192408804,5144.021335026415,0.4582528773210234
0.07,0.16,0.30000000000000004,-2.353899702862806E9,0.5064475639864363,1.3554876929944324E10,1.6567407781401072E7,-2.336903089683536E9,1800,6,60,-167.9122958749778,5466.706610123008,0.42480445654500476
0.07,0.16,0.4,-2.694801947713622E9,0.5397019091516794,1.540251920005285E10,9600500.819687836,-2.684811639685475E9,1800,6,60,-186.13776459261368,5827.3869439139135,0.3830408893464371
0.07,0.16,0.5,-3.1080520911749043E9,0.5768501699747031,1.7601567448910084E10,-1498144.673279794,-3.109203933230445E9,1800,6,60,-209.8717516342015,6229.506585501187,0.3319926590314359
0.07,0.45,0,-1.3792979614623685E9,0.3955735935004548,8.168769730313962E9,-1.72784066021342E7,-1.3959301094392357E9,1800,6,60,-360.5031284426775,4243.81363807643,0.35782970892110766
0.07,0.45,0.1,-1.5054588500574746E9,0.4121076164942452,8.884273518860846E9,-2.9198241152308945E7,-1.5340131626799312E9,1800,6,60,-387.45835552181387,4425.7709875070395,0.32929255278283964
0.07,0.45,0.2,-1.6413395124173505E9,0.4291404896461705,9.649512879504072E9,-4.551122778962172E7,-1.686208022257659E9,1800,6,60,-419.34322423340967,4612.43938907745,0.29512165055131634
0.07,0.45,0.30000000000000004,-1.7833598719943552E9,0.4461123741817356,1.0440743086832945E10,-6.835988330119114E7,-1.8510760149427166E9,1800,6,60,-457.8998661309784,4797.817032043607,0.25510096019201206
0.07,0.45,0.4,-1.9235033012549014E9,0.46197340532332326,1.1206087515100565E10,-1.0134169035587095E8,-2.0241965214016593E9,1800,6,60,-505.90307474282133,4970.556126132755,0.20800029544489979
0.07,0.45,0.5,-2.0456276735681603E9,0.47476923003386823,1.1840797575018427E10,-1.5089712144809732E8,-2.1958665156349373E9,1800,6,60,-568.0858690201529,5109.382962967038,0.15397540269207735
0.075,0.16,0,-1.634287896253472E9,0.42564130945239304,9.528057779187916E9,2.5459721304778405E7,-1.6082253796117222E9,1800,6,60,-146.38976678288358,4583.319875370768,0.2437500169240765
0.075,0.16,0.1,-1.8341225246416268E9,0.4492591141038277,1.0635585145925528E10,2.325965981984844E7,-1.8102916219063733E9,1800,6,60,-157.49403575209217,4842.377819086979,0.24669190016649356
0.075,0.16,0.2,-2.0714047287249024E9,0.47563654532989746,1.1939433812950745E10,1.997282624420953E7,-2.0508970012835155E9,1800,6,60,-170.68295001996222,5130.619924230207,0.24803244599577196
0.075,0.16,0.30000000000000004,-2.3555185153248844E9,0.5052027969846576,1.3483740044294762E10,1.5043536206319366E7,-2.3399814210018725E9,1800,6,60,-186.70402519177298,5452.342922023332,0.24692676900607965
0.075,0.16,0.4,-2.69849113008253E9,0.5383337791837836,1.5321169985615051E10,7510480.169052113,-2.6905332695957074E9,1800,6,60,-206.76246654187315,5811.977745699495,0.24205979907824854
0.075,0.16,0.5,-3.115293156748298E9,0.5753567524360632,1.750852573200268E10,-4441922.22726722,-3.119337730871204E9,1800,6,60,-232.9713776595619,6213.020213874161,0.23106206542603105
0.075,0.45,0,-1.3800171621774845E9,0.39543864957912644,8.14392793351282E9,-2.1165861754082534E7,-1.4003935166612792E9,1800,6,60,-399.90787945787093,4237.355858511934,0.17701282031821614
0.075,0.45,0.1,-1.507183737854153E9,0.4119705428976447,8.860057182566378E9,-3.411425942335177E7,-1.540509143846194E9,1800,6,60,-429.70518093476414,4419.735092069539,0.17538620870689056
0.075,0.45,0.2,-1.6445226485489645E9,0.42904962383028045,9.627276218712883E9,-5.1823325232548505E7,-1.695555324775847E9,1800,6,60,-465.0240281521857,4607.12179386952,0.17133183297613652
0.075,0.45,0.30000000000000004,-1.7886893991418476E9,0.4461127483072825,1.04227423324033E10,-7.662889450031269E7,-1.8645216102851913E9,1800,6,60,-507.8383473935362,4793.679319699948,0.16448393678062118
0.075,0.45,0.4,-1.9320515316906948E9,0.46214902244912104,1.119606054170709E10,-1.1246691471111344E8,-2.0437089965029953E9,1800,6,60,-561.3004400926358,4968.3318534922955,0.15339959428063954
0.075,0.45,0.5,-2.0591136967784936E9,0.4752489421595667,1.1844909210962843E10,-1.6641551632297912E8,-2.224697399724667E9,1800,6,60,-630.8078269124295,5110.269985114554,0.13678691591972672
0.08,0.16,0,-1.635842184350428E9,0.42497094992642537,9.505167242227514E9,2.368364702315578E7,-1.6116286982898161E9,1800,6,60,-156.5192547239289,4577.811001227321,-0.17802548774354102
0.08,0.16,0.1,-1.835889549751053E9,0.44855868619445705,1.060809192500883E10,2.137508051261519E7,-1.8140089032310476E9,1800,6,60,-168.46560539432966,4836.114942557505,-0.17411489846836203
0.08,0.16,0.2,-2.0735598625047038E9,0.47490095521106684,1.1906336345803352E10,1.7944182878746018E7,-2.0551388343841655E9,1800,6,60,-182.67792493886498,5123.5036582856765,-0.17136692794672936
0.08,0.16,0.30000000000000004,-2.358372207498243E9,0.504397039852908,1.3443848532597536E10,1.2813928644797597E7,-2.3451148885019236E9,1800,6,60,-199.96752210130416,5444.271596483458,-0.16872152499394455
0.08,0.16,0.4,-2.702608178997327E9,0.5374622268922836,1.5273131501268682E10,4982703.498468359,-2.697220220435197E9,1800,6,60,-221.64948408416436,5802.859062213318,-0.16888049983560396
0.08,0.16,0.5,-3.121745828236474E9,0.5744006728333807,1.745100771485254E10,-7447768.476495293,-3.128830348776965E9,1800,6,60,-250.0257002836156,6202.806487458779,-0.1723936415968759
0.08,0.45,0,-1.3834676571020782E9,0.3951772668408162,8.140279898466314E9,-2.519694783747533E7,-1.4079648670872426E9,1800,6,60,-428.34355498132936,4236.406700136542,-0.39540117467286956
0.08,0.45,0.1,-1.511387122371021E9,0.4117747643143976,8.857488459178263E9,-3.883245740414463E7,-1.5495159765122597E9,1800,6,60,-460.5236098475773,4419.094356890446,-0.40552132803225827
0.08,0.45,0.2,-1.6498331269570413E9,0.4289299795569225,9.62693673755761E9,-5.748183297478945E7,-1.7066051685054815E9,1800,6,60,-498.71584182477005,4607.040563953314,-0.41893065491133114
0.08,0.45,0.30000000000000004,-1.795655945845614E9,0.446105178516527,1.0426555061553549E10,-8.3617346572094E7,-1.878553381594508E9,1800,6,60,-545.0800463137631,4794.556024129495,-0.43431041501355006
0.08,0.45,0.4,-1.9415446108254387E9,0.4623042547892896,1.1207236790582628E10,-1.2141391909224038E8,-2.0622223444290786E9,1800,6,60,-603.069776600836,4970.81100504981,-0.45308741243476586
0.08,0.45,0.5,-2.0725504927744937E9,0.475665474683558,1.186878071866887E10,-1.7839914464559337E8,-2.25018858001369E9,1800,6,60,-678.6085686075971,5115.416856446576,-0.47583822499132816
0.08499999999999999,0.16,0,-1.6357473297346756E9,0.4243877064725968,9.477827096081024E9,2.3134686047954395E7,-1.6120824899537787E9,1800,6,60,-164.80464218046902,4571.222576908893,0.12931278852020286
0.08499999999999999,0.16,0.1,-1.8360719531353328E9,0.44793857626487393,1.057717503136342E10,2.070182395731632E7,-1.8148655143245008E9,1800,6,60,-177.6972194164102,4829.062460771378,0.12267191654782562
0.08499999999999999,0.16,0.2,-2.074183728486421E9,0.4742250870496169,1.1871198200606535E10,1.711090015963691E7,-2.0565980177652185E9,1800,6,60,-193.00089480854717,5115.937794514028,0.11417911290597098
0.08499999999999999,0.16,0.30000000000000004,-2.3597132071759224E9,0.503661650245741,1.3403731683910608E10,1.1767352688448172E7,-2.3475053210859027E9,1800,6,60,-211.5788540581903,5436.142592552581,0.1024399589485973
0.08499999999999999,0.16,0.4,-2.705149912109739E9,0.5366758712421066,1.522723198284922E10,3637668.6780023063,-2.7011103104597707E9,1800,6,60,-234.82796149680934,5794.13299164869,0.08540026354933634
0.08499999999999999,0.16,0.5,-3.1263827677779617E9,0.5735590914454839,1.739866486110352E10,-9240768.134302601,-3.1352635951925454E9,1800,6,60,-265.19930806442994,6193.497099176379,0.062456065280717975
0.08499999999999999,0.45,0,-1.3848746409775457E9,0.39505768639350664,8.131208149809085E9,-2.7806332926819347E7,-1.4119828362156384E9,1800,6,60,-454.2003184634702,4234.045458887953,0.04059891127911495
0.08499999999999999,0.45,0.1,-1.5134934351884239E9,0.4117022543422425,8.850003855086601E9,-4.2077662144094855E7,-1.5548688867724154E9,1800,6,60,-488.6489771600499,4417.226888413055,0.02479108303964656
0.08499999999999999,0.45,0.2,-1.6529488307837677E9,0.4289259955688367,9.62228431061825E9,-6.158660938296061E7,-1.713826333581101E9,1800,6,60,-529.5195751463825,4605.927203104539,0.005631299696170734
0.08499999999999999,0.45,0.30000000000000004,-1.8002558404927807E9,0.44621366112106237,1.0426726592762318E10,-8.892123512775876E7,-1.8884564591863194E9,1800,6,60,-579.1248030010486,4794.59546254742,-0.018180650860405993
0.08499999999999999,0.45,0.4,-1.948375881588478E9,0.4625863021660148,1.1215452270783083E10,-1.2845846143082823E8,-2.0760951033628669E9,1800,6,60,-641.1705361559382,4972.632601224337,-0.046660351491140825
0.08499999999999999,0.45,0.5,-2.08282415189552E9,0.4762227009697172,1.189026281185019E10,-1.8810162591028932E8,-2.270157905771193E9,1800,6,60,-722.0167349739467,5120.044129718301,-0.08069510080168524
0.09,0.16,0,-1.6365677360369143E9,0.4239743246621711,9.46253079947512E9,2.212065519527505E7,-1.6140203148519678E9,1800,6,60,-173.80559552282227,4567.53233257334,0.3339733480309185
0.09,0.16,0.1,-1.8370391173336124E9,0.44750759624841285,1.055910044469846E10,1.961886851999416E7,-1.8170128310191448E9,1800,6,60,-187.24799519361724,4824.934675750773,0.3227973980903514
0.09,0.16,0.2,-2.0754139458782983E9,0.4737694171125719,1.1849789440286745E10,1.5938888184148539E7,-2.0590905065054243E9,1800,6,60,-203.22236782721285,5111.322620590911,0.3084794141974304
0.09,0.16,0.30000000000000004,-2.3614113337553034E9,0.5031741790769289,1.3378345931240555E10,1.047403816776288E7,-2.3505793304729214E9,1800,6,60,-222.6391617430574,5430.99231235972,0.2898694472044115
0.09,0.16,0.4,-2.7076868222600756E9,0.5361430699621331,1.519720535057853E10,2168527.164490198,-2.7051905395834594E9,1800,6,60,-246.96748258894638,5788.417438076361,0.2674158999475177
0.09,0.16,0.5,-3.130459817243404E9,0.572975885746798,1.736348766185386E10,-1.098604026653384E7,-3.1411511782670803E9,1800,6,60,-278.7848852065224,6187.2328231659385,0.23837074186078266
0.09,0.45,0,-1.387073490842111E9,0.3951292160780847,8.131552571463598E9,-3.052441493176463E7,-1.417031444006939E9,1800,6,60,-477.9872563034005,4234.135131545917,0.3263319886327374
0.09,0.45,0.1,-1.5162571011544147E9,0.41182233883964264,8.85209962795269E9,-4.528512313757835E7,-1.560969769664975E9,1800,6,60,-514.1537495910844,4417.749880871537,0.3136226086293629
0.09,0.45,0.2,-1.6565377372739275E9,0.42911398004045115,9.627261427535873E9,-6.545727488375041E7,-1.7214138674678872E9,1800,6,60,-557.092378702282,4607.118255565993,0.29822358809670246
0.09,0.45,0.30000000000000004,-1.8050725905638335E9,0.4464992168145513,1.0436400940467707E10,-9.372003268217643E7,-1.898198465630992E9,1800,6,60,-609.2484963761973,4796.819259590806,0.2795000845583036
0.09,0.45,0.4,-1.9550573044736392E9,0.46302304773666114,1.1232757118233366E10,-1.3460718541164336E8,-2.0890506751045988E9,1800,6,60,-674.5381438101525,4976.467377550981,0.256792042862707
0.09,0.45,0.5,-2.0924084007883441E9,0.47690585433242166,1.1919966244107727E10,-1.963129368481346E8,-2.288078384146378E9,1800,6,60,-759.6881872329444,5126.435411662053,0.22998269128268206
0.095,0.16,0,-1.6374614961802757E9,0.423701401417059,9.45464973305443E9,2.1034769194399163E7,-1.6160644897071502E9,1800,6,60,-181.9415156781927,4565.6298540130565,-0.2710713040084871
0.095,0.16,0.1,-1.8380685114033053E9,0.4472337452745703,1.0549690729149452E10,1.846539746153057E7,-1.819256392396524E9,1800,6,60,-195.80679880505346,4822.78433243754,-0.2343683069489424
0.095,0.16,0.2,-2.0766548822842429E9,0.47348102338014053,1.1838476749735895E10,1.4709255628407842E7,-2.0616168929179943E9,1800,6,60,-212.29427821903562,5108.882213595829,-0.19419498823837206
0.095,0.16,0.30000000000000004,-2.363000456359313E9,0.5028890148227619,1.336469157457707E10,9155197.821393581,-2.353537080577597E9,1800,6,60,-232.35036613066322,5428.220084849887,-0.15007880783739497
0.095,0.16,0.4,-2.709879867321994E9,0.5358401295496786,1.5180718932898909E10,737907.631311676,-2.7088567597087407E9,1800,6,60,-257.49908548675626,5785.276855296196,-0.10262170401991573
0.095,0.16,0.5,-3.1337595279380126E9,0.5726495725500015,1.734377645691729E10,-1.2574054249644395E7,-3.146073092073699E9,1800,6,60,-290.42073232276704,6183.719921612677,-0.05230464610652058
0.095,0.45,0,-1.38904185272377E9,0.3951421798458207,8.136583616549616E9,-3.293778935622081E7,-1.4214651524696229E9,1800,6,60,-498.79369938546154,4235.444772642453,-0.14554477693632292
0.095,0.45,0.1,-1.5187330438500407E9,0.4118790342089864,8.859348582799198E9,-4.808711610098647E7,-1.5662985938716147E9,1800,6,60,-536.3349211550257,4419.558351029205,-0.1128260751367882
0.095,0.45,0.2,-1.6597372710751708E9,0.4292236436152202,9.637786649994377E9,-6.877471954423173E7,-1.727980464375508E9,1800,6,60,-580.9356764172371,4609.635986006316,-0.07960282489553716
0.095,0.45,0.30000000000000004,-1.8093303429327216E9,0.4466982701623342,1.0451853287228954E10,-9.77455337070363E7,-1.9065299364651518E9,1800,6,60,-635.1520271764604,4800.369080002414,-0.046334980117778465
0.095,0.45,0.4,-1.9609078708546572E9,0.4633692401081097,1.125577228946068E10,-1.3964884786880863E8,-2.099989639359838E9,1800,6,60,-703.0847973081295,4981.562993851091,-0.015028208576184587
0.095,0.45,0.5,-2.1007346268469803E9,0.47747951840549807,1.1954815873186764E10,-2.0289507621157116E8,-2.3030318359477844E9,1800,6,60,-791.783548859397,5133.923854974402,0.012120627685689845
0.1,0.16,0,-1.6362740932948723E9,0.4233059901066657,9.431265833135273E9,2.133387237050426E7,-1.6145178468293667E9,1800,6,60,-190.7889217182137,4559.980341521687,0.6830762353252071
0.1,0.16,0.1,-1.8370635602964818E9,0.44677953565990564,1.052390369592837E10,1.872022271448261E7,-1.8179406496986668E9,1800,6,60,-205.1532508820509,4816.886463459466,0.6448221633479968
0.1,0.16,0.2,-2.075956461987923E9,0.47298449745474236,1.181001586794596E10,1.4898196791852515E7,-2.0606784535496736E9,1800,6,60,-222.2324184926541,5102.7373865117615,0.5991591742746065
0.1,0.16,0.30000000000000004,-2.362809711393284E9,0.5023546011712647,1.3333318582828001E10,9245397.749209864,-2.353210636179623E9,1800,6,60,-243.0036118010982,5421.845094510175,0.544034462854428
0.1,0.16,0.4,-2.710534230002608E9,0.5352700886122655,1.5146321976830322E10,676923.1553483596,-2.7095327397635417E9,1800,6,60,-269.04380627575824,5778.7189063651485,0.47723639753487257
0.1,0.16,0.5,-3.1358529579945316E9,0.5720647346313078,1.7306608957535614E10,-1.2875619623045737E7,-3.1484350759166045E9,1800,6,60,-303.12140648312413,6177.090550412968,0.39493336117865996
0.1,0.45,0,-1.3888025309745944E9,0.3952559289001308,8.128446322266796E9,-3.426481041484918E7,-1.4225018880080843E9,1800,6,60,-521.8473298308409,4233.326335634759,0.5527116984412447
0.1,0.45,0.1,-1.5189572064384725E9,0.41204245000494466,8.85297638427745E9,-4.984593192214574E7,-1.56823104055745E9,1800,6,60,-560.9024120306891,4417.968653642459,0.5039628560966251
0.1,0.45,0.2,-1.6606441176858659E9,0.4294594012419359,9.634381981319464E9,-7.112348821982E7,-1.7311855066642096E9,1800,6,60,-607.2911301317524,4608.821708448718,0.44662232125427564
0.1,0.45,0.30000000000000004,-1.8112513937293146E9,0.44703622169952023,1.0453296524016157E10,-1.009221939013352E8,-1.9115762570900114E9,1800,6,60,-663.6705789200757,4800.700496500568,0.37923334095561634
0.1,0.45,0.4,-1.9643565130590858E9,0.46386694507851683,1.126501861205537E10,-1.4402528484799373E8,-2.1077613477120523E9,1800,6,60,-734.2949647436217,4983.608685837255,0.29974466862254656
0.1,0.45,0.5,-2.1065326866729686E9,0.4782389952541508,1.1976554006987127E10,-2.0908449705144444E8,-2.3149624246342893E9,1800,6,60,-826.4785565583641,5138.589390676324,0.20695583280156724
