% Model,Evan_segmented_faraday_v4.mph
% Version,COMSOL 5.5.0.359
% Date,"Nov 19 2020, 12:23"
% Table,Probe Table 1 - 
% mob_e (m^2/(V*s)),mob_i (m^2/(V*s)),"ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Jz*ec.Ez (W/m^3), Off Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power","abs(ec.Ey/(u_x*B_app)) (1), K hall","plasma velocity (m/s), Point: (0, 0, 0)","Applied Magnetic Field (T), Point: (0, 0, 0)","plasma conductivity (S/m), Point: (0, 0, 0)","Electric field, x component (V/m), Electric Field . x","Electric field, y component (V/m), Electric Field . y","Electric field, z component (V/m), Electric Field . z",chan_len/el_len (1),ins_seg_len/el_len (1)
0.44000000000000006,0.01,1.8932335622301412E9,-5.545169486754027E7,1678172.1849371267,681102.5727416399,-5.309242010986191E7,0.08022446697424195,1800,6,60,-1.8999784990233524,860.8922946800521,0.3214778543260987,5.5,0.5
0.44000000000000006,0.02,1.3645421869043055E9,-4.010112556607038E7,1151204.3863652851,683724.9408737567,-3.8266196238831945E7,0.06875914246925717,1800,6,60,-2.1409944378924424,734.9001865009104,0.3654133485774304,5.5,0.5
0.44000000000000006,0.03,8.730108577896091E8,-2.5771238338580128E7,600123.9087699581,689022.5589998984,-2.448209187081058E7,0.056074504924523,1800,6,60,-2.4486672988230223,592.9980961276985,0.40595361977905026,5.5,0.5
0.44000000000000006,0.04,4.571053939539575E8,-1.3554790270024223E7,33340.39066395001,702710.5985602051,-1.2818739280800093E7,0.042441296830406185,1800,6,60,-2.861878810023511,435.5842050910321,0.42538561739463926,5.5,0.5
0.44000000000000006,0.05,1.5692334268460163E8,-4602865.011918516,-540253.6235369603,742477.6945181133,-4400640.94093736,0.028503460485596644,1800,6,60,-3.46729349512595,262.93098657245804,0.3910238224375279,5.5,0.5
0.48,0,1.828324816840212E9,-5.3677384334937535E7,1764034.2029994973,641175.4867363519,-5.127217464520164E7,0.07910370574983656,1800,6,60,-1.734846398342281,848.2744133042855,0.27490366573452957,5.5,0.5
0.48,0.01,1.370913011796312E9,-4.0373661430715E7,1290229.0781047475,638555.8343736882,-3.844487651823638E7,0.06903160026510839,1800,6,60,-1.9402634515844766,738.0301649142021,0.31647573176605776,5.5,0.5
0.48,0.02,9.323128383272485E8,-2.75748694425407E7,793834.0849364079,635944.1077918818,-2.6145091249812316E7,0.05777767391274998,1800,6,60,-2.1971066512860027,613.1461613242626,0.3582095564383249,5.5,0.5
0.48,0.03,5.435853147730364E8,-1.6164064728680924E7,283972.2029073917,636171.7312442849,-1.5243920794529226E7,0.04553629776753683,1800,6,60,-2.531829478212113,473.90239633040574,0.39049815103089364,5.5,0.5
0.48,0.04,2.382978225892402E8,-7100558.749048971,-229571.84692209994,647474.1448046766,-6682656.451166508,0.03268695844299145,1800,6,60,-2.9979817647790203,320.7593508631414,0.390793576469672,5.5,0.5
0.48,0.05,4.8965018842194736E7,-1344872.1372027188,-733526.1643029699,703891.4274840805,-1374506.874021608,0.02052371123077337,1800,6,60,-3.7342827290706926,152.95541472574274,0.2198556543114923,5.5,0.5
