% Model,Evan_segmented_faraday_v1.mph
% Version,COMSOL 5.5.0.359
% Date,"Oct 9 2020, 08:25"
% Table,Probe Table 1 - 
% B_app ,"ec.Ey*ec.Jy (W/m^3), Faraday Power","ec.Jy*(2*wire_rad[mm])^2 (A), Current in Load","-ec.Ey*(2*inner_rad [mm]) (V), dV faraday","abs(ec.Ey/(u_x[m/s]*bap(x)[T])) (1), K hall","-ec.Ex*(4*el_len[mm]+3*ins_seg_len [mm]) (V), dV hall","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Resistor Power","ec.Ex*ec.Jx (W/m^3), Hall Power","ec.Ex*ec.Jx+ec.Ey*ec.Jy+ec.Ez*ec.Jz (W/m^3), Total Channel Power",4*el_len+3*ins_seg_len,2*chan_len+2*abs(el_shift),"Current density, y component (A/cm^2), mean Jy all el_fl","Current density, y component (A/cm^2), max Jy all el_fl","Current density, y component (A/cm^2), min Jy all el_fl","Current density norm (A/cm^2), mean |J| all el_fl","Current density norm (A/cm^2), max |J| all el_fl","Current density norm (A/cm^2), min |J| all el_fl","Current density, y component (A/cm^2), mean Jy all el_fl 2b","Current density, y component (A/cm^2), max Jy all el_fl 2b","Current density, y component (A/cm^2), min Jy all el_fl 2b","Current density norm (A/cm^2), mean |J| all el_fl 2b","Current density norm (A/cm^2), max |J| all el_fl 2b","Current density norm (A/cm^2), min |J| all el_fl 2b","Current density, y component (A/cm^2), mean Jy midline","Current density, y component (A/cm^2), max Jy midline","Current density, y component (A/cm^2), min Jy midline","Current density norm (A/cm^2), mean |J| midline","Current density norm (A/cm^2), max |J| midline","Current density norm (A/cm^2), min |J| midline"
0,0,0,0,NaN,0,0,0,0,55,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5454545454545454,-1.3810231084722701E7,87.07882560086537,61.43816037524135,0.5781311370332056,-2.3209920401082862E-4,4.184960314153397E10,621326.2724461692,-1.3187816629357716E7,55,110,6.493708001370495,53.10684050861814,1.9520099160781754,7.182797967965869,62.04759947079783,2.6136538197250765,6.266152012894128,31.84884362388886,2.9073281063363603,6.77944884295912,36.37110382594248,3.6677639664229758,6.387791198881643,18.052564537156293,4.745704733283633,6.863066196857754,20.70684956618379,4.745712714284281
1.0909090909090908,-5.524092320524713E7,174.15768048762595,122.87634264683524,0.5781312075275387,-4.706816082362015E-4,1.6739846823597278E11,2485303.074224181,-5.2751267354505345E7,55,110,12.987420361304281,106.2149944910381,3.9040370894920637,14.365599754528137,124.09671684583601,5.227340553254521,12.532322301592846,63.69770008544426,5.814652074273627,13.558917877073636,72.74221372186587,7.335538130103445,12.775589061097142,36.10510980370255,9.491425956561436,13.726135770712258,41.41367544521923,9.491441851436589
1.6363636363636362,-1.2429207871635473E8,261.23650459956343,184.31450194708722,0.5781311790961284,-7.010997838818504E-4,3.7664650740742847E11,5591932.831419593,-1.1869035219690414E8,55,110,19.481127733640054,159.3218052635428,5.856043664128294,21.548396862076828,186.14427693353386,7.840987883877721,18.79847405729012,95.54656463754002,8.72198035441634,20.33836607911256,109.1133391647202,11.003295172245396,19.16338644115963,54.157675415543935,14.237138509100197,20.589206932077495,62.12052634646183,14.237162375802841
2.1818181818181817,-2.2096369166828564E8,348.31534467518526,245.75267544163657,0.5781311649784773,-9.289560968039262E-4,6.695938094728145E11,9941206.513982464,-2.110050712476895E8,55,110,25.974847041919134,212.43154514057045,7.808168849786592,28.73120480744569,248.1951544347468,10.454819674913036,25.06476105469554,127.39538258026285,11.629297137177009,27.117960374573055,145.4844204166593,14.67134688919938,25.55127014095253,72.21043088796237,18.98291541720047,27.452362644298276,82.82759601645577,18.98294712894563
2.727272727272727,-3.452557723335934E8,435.39419795441364,307.1908558134351,0.5781311828944605,-0.0011647162944085053,1.0462404093021747E12,1.5533132335679144E7,-3.296954331008265E8,55,110,32.468555585834615,265.53886788291186,9.760158950319873,35.914002545034556,310.2432960832112,13.06844347987765,31.33090170039904,159.24423319992565,14.536630252346024,33.89739628653138,181.8555300330807,18.339084054789854,31.9390608544997,90.2629459476509,23.72862724617167,34.315425336805056,103.53438853496297,23.728666894403137
3.2727272727272725,-4.971683150046987E8,522.4730182271052,368.62901234353814,0.5781311698501689,-0.0013943847330244014,1.5065860793171704E12,2.2367715564949438E7,-4.747614224464489E8,55,110,38.96226283128387,318.6456212536839,11.712169216984925,43.09679959343567,372.2907913219195,15.682096021366144,37.597055707153444,191.09310015742417,17.443958229675953,40.676846959013375,218.22665861889755,22.00684569074155,38.32685972060744,108.31552098763959,28.474339321693407,41.17849827211057,124.24124966168301,28.474386945190822
3.818181818181818,-6.767013203737856E8,609.5518426395046,430.06717185160954,0.5781311632261507,-0.0016248185132137546,2.0506309730297473E12,3.044495023647981E7,-6.462030467781497E8,55,110,45.455970199559765,371.7524355072521,13.664177680899005,50.279596694777034,434.338356202297,18.29574443785914,43.863207588284006,222.94196278081245,20.35128913830996,47.45629531186747,254.5977824555311,25.6746031745015,44.714656833935614,126.36808451494747,33.220052099557364,48.041569154861726,144.9480986052118,33.22010769439264
4.363636363636363,-8.838547707980841E8,696.630452418665,491.50517864921966,0.5781310211211987,-0.0017986604134889162,2.6783734311287593E12,3.9764892244136386E7,-8.440202094742897E8,55,110,51.94967770868662,424.8569182327958,15.616466768057489,57.46239663814233,496.3832494926736,20.909811910814014,50.129622720923805,254.79097006286747,23.25858093210769,54.236031611917,290.969050959211,29.342785425402003,51.102625421047826,144.42139993476061,37.965875278372955,54.90483759729264,165.65580959146206,37.96593896753235
4.909090909090908,-1.1186287197255464E9,783.7095330928707,552.9435208358979,0.5781311756227917,-0.002093708144234061,3.38981872951906E12,5.032736364940062E7,-1.0682132119209958E9,55,110,58.443386056236776,477.96667373015583,17.56815880027718,64.64519123032497,558.434176289732,23.522994429679326,56.395487398371216,286.6396750711821,26.165952124696027,61.01516559661501,327.3400153819288,33.010076202672614,57.49023794712378,162.4731300503845,42.711472914424014,61.76769516899132,186.36170078321643,42.71154440267398
